symbol,marketcap,exchange,exchangeName
AOUT,115783152,XNAS,Nasdaq All Markets
AP,48810145,XNYS,New York Stock Exchange Inc
APA,9086562847,XNAS,Nasdaq All Markets
APAC,22561512,XNAS,Nasdaq All Markets
APACU,22561507,XNAS,Nasdaq All Markets
APACW,22561512,XNAS,Nasdaq All Markets
APAM,2869971067,XNYS,New York Stock Exchange Inc
APCA,126531868,XNYS,New York Stock Exchange Inc
APCA+,,XNYS,New York Stock Exchange Inc
APCA=,126531867,XNYS,New York Stock Exchange Inc
APCX,38278243,XNAS,Nasdaq All Markets
APCXW,41795703,XNAS,Nasdaq All Markets
APD,48831760368,XNYS,New York Stock Exchange Inc
APDN,9609946,XNAS,Nasdaq All Markets
APEI,195619765,XNAS,Nasdaq All Markets
APG,8103235448,XNYS,New York Stock Exchange Inc
APGE,1739648582,XNAS,Nasdaq All Markets
APH,62072980188,XNYS,New York Stock Exchange Inc
API,230430905,XNAS,Nasdaq All Markets
APLD,541878632,XNAS,Nasdaq All Markets
APLE,3591129035,XNYS,New York Stock Exchange Inc
APLM,62618657,XNAS,Nasdaq All Markets
APLS,7803221378,XNAS,Nasdaq All Markets
APLT,213924903,XNAS,Nasdaq All Markets
APM,2613673,XNAS,Nasdaq All Markets
APO,62394158925,XNYS,New York Stock Exchange Inc
APO-A,61834779874,XNYS,New York Stock Exchange Inc
APOG,1210705072,XNAS,Nasdaq All Markets
APOS,61048137458,XNYS,New York Stock Exchange Inc
APP,12185300453,XNAS,Nasdaq All Markets
APPF,5011900905,XNAS,Nasdaq All Markets
APPN,1326201805,XNAS,Nasdaq All Markets
APPS,372888005,XNAS,Nasdaq All Markets
APRE,23914707,XNAS,Nasdaq All Markets
APTO,32335301,XNAS,Nasdaq All Markets
APTV,22261495351,XNYS,New York Stock Exchange Inc
APVO,2901388,XNAS,Nasdaq All Markets
APWC,27209296,XNAS,Nasdaq All Markets
APXI,65588047,XNAS,Nasdaq All Markets
APXIU,65588048,XNAS,Nasdaq All Markets
APYX,93884847,XNAS,Nasdaq All Markets
AQB,9693865,XNAS,Nasdaq All Markets
AQMS,62940334,XNAS,Nasdaq All Markets
AQN,3906614226,XNYS,New York Stock Exchange Inc
AQNB,4051303634,XNYS,New York Stock Exchange Inc
AQNU,,XNYS,New York Stock Exchange Inc
AQST,179603991,XNAS,Nasdaq All Markets
AQU,49265083,XNAS,Nasdaq All Markets
AQUNR,49265083,XNAS,Nasdaq All Markets
AQUNU,49265086,XNAS,Nasdaq All Markets
AQWA,9111200,XNAS,Nasdaq All Markets
AR,6311424000,XNYS,New York Stock Exchange Inc
ARAY,284118512,XNAS,Nasdaq All Markets
ARBB,69530625,XNAS,Nasdaq All Markets
ARBE,143382252,XNAS,Nasdaq All Markets
ARBEW,141832174,XNAS,Nasdaq All Markets
ARBK,149483363,XNAS,Nasdaq All Markets
ARBKL,164489410,XNAS,Nasdaq All Markets
ARC,119004175,XNYS,New York Stock Exchange Inc
ARCB,3380331000,XNAS,Nasdaq All Markets
ARCC,11736480402,XNAS,Nasdaq All Markets
ARCH,3092421150,XNYS,New York Stock Exchange Inc
ARCO,1529262122,XNYS,New York Stock Exchange Inc
ARCT,1055304381,XNAS,Nasdaq All Markets
ARDC,313018067,XNYS,New York Stock Exchange Inc
ARDX,2143791743,XNAS,Nasdaq All Markets
ARE,19672556201,XNYS,New York Stock Exchange Inc
AREB,1228374,XNAS,Nasdaq All Markets
AREBW,1228374,XNAS,Nasdaq All Markets
AREC,107618965,XNAS,Nasdaq All Markets
ARES,25452302097,XNYS,New York Stock Exchange Inc
ARGD,0,XNYS,New York Stock Exchange Inc
ARGO-A,0,XNYS,New York Stock Exchange Inc
ARGX,23016000824,XNAS,Nasdaq All Markets
ARHS,657147902,XNAS,Nasdaq All Markets
ARI,1511909048,XNYS,New York Stock Exchange Inc
